,feature,rank
5869,X77588_s_at,1131
1244,L07956_at,1132
1969,M34175_at,1133
2056,M59371_at,1134
5829,M31520_rna1_s_at,1135
267,D17390_at,1136
2890,U20230_at,1137
3977,U94333_at,1138
3330,U50733_at,1139
1361,L19067_at,1140
3364,U52112_rna5_at,1141
1799,M21121_at,1142
4453,X67247_rna1_at,1143
3883,U86358_at,1144
1400,L21993_at,1145
332,D28476_at,1146
7044,J00117_f_at,1147
1806,M21551_rna1_at,1148
6201,M17236_at,1149
2742,U11090_at,1150
6435,U20816_s_at,1151
131,AF003743_at,1152
6562,U51333_s_at,1153
5562,D13631_s_at,1154
1672,M11119_at,1155
6278,X97748_s_at,1156
1080,J03589_at,1157
1111,J04444_at,1158
4681,X82434_at,1159
698,D87119_at,1160
3668,U72661_at,1161
930,HG3566-HT3769_at,1162
154,AF015913_at,1163
87,AB002559_at,1164
2946,U25165_at,1165
5436,U94836_at,1166
5584,U00802_s_at,1167
2488,S75168_rna1_at,1168
1591,L41067_at,1169
1489,L34587_at,1170
4624,X79353_at,1171
2787,U14417_at,1172
2829,U16306_at,1173
6060,L13939_s_at,1174
4138,X13956_at,1175
1846,M24439_at,1176
3728,U78095_at,1177
4964,Y08200_at,1178
251,D15050_at,1179
4978,Y08915_at,1180
3761,U79259_at,1181
4088,X06482_at,1182
1062,J02906_at,1183
456,D49738_at,1184
6211,X54667_s_at,1185
493,D50923_at,1186
5331,M16342_at,1187
5164,Z48633_at,1188
438,D43951_at,1189
5799,M58509_cds1_s_at,1190
6597,U61397_s_at,1191
6623,U73167_cds2_s_at,1192
3141,U38980_at,1193
1540,L38696_at,1194
5740,HG2238-HT2321_s_at,1195
1156,K01396_at,1196
3577,U66559_at,1197
407,D38751_at,1198
3179,U41371_at,1199
2031,M55593_at,1200
4484,X69433_at,1201
5104,Z28407_at,1202
1783,M19722_at,1203
135,AF005775_at,1204
69,AB000466_at,1205
5541,M37271_s_at,1206
5628,D38251_s_at,1207
3807,U80073_at,1208
6956,J00314_at,1209
1021,HG537-HT537_at,1210
1105,J04132_at,1211
4954,Y07755_at,1212
1739,M15841_at,1213
1974,M34344_at,1214
3687,U73737_at,1215
72,AB000584_at,1216
2955,U25849_at,1217
2421,M98045_at,1218
4199,X17254_at,1219
4487,X69699_at,1220
1742,M15958_at,1221
4176,X15949_at,1222
6445,S81243_s_at,1223
301,D25328_at,1224
5434,U83171_at,1225
6384,M91368_s_at,1226
6903,U66061_cds3_at,1227
5597,L15326_s_at,1228
6770,X87344_cds10_r_at,1229
3673,U73167_cds5_at,1230
2381,M94547_at,1231
3516,U62739_at,1232
3860,U83843_at,1233
3095,U35451_at,1234
6708,Z49825_s_at,1235
3064,U33429_at,1236
307,D26068_at,1237
1004,HG4460-HT4729_at,1238
541,D64110_at,1239
5387,U17969_at,1240
1346,L16862_at,1241
3003,U29656_at,1242
3120,U37408_at,1243
2268,M82882_at,1244
2843,U17566_at,1245
5112,Z29481_at,1246
4913,X99585_at,1247
4663,X81479_at,1248
3698,U75968_at,1249
5845,HG3484-HT3678_s_at,1250
1240,L07758_at,1251
2384,M94633_at,1252
4187,X16665_at,1253
665,D86965_at,1254
3169,U40462_at,1255
3159,U40223_at,1256
6265,M29335_at,1257
6238,X95325_s_at,1258
666,D86966_at,1259
2687,U08316_at,1260
1033,HG830-HT830_at,1261
349,D29963_at,1262
778,D90086_at,1263
6429,U15641_s_at,1264
1182,L01087_at,1265
2841,U17327_at,1266
5625,U27325_s_at,1267
2935,U24166_at,1268
455,D49677_at,1269
5540,Y00097_s_at,1270
3283,U48405_at,1271
1340,L15440_at,1272
3551,U65402_at,1273
1805,M21494_at,1274
6206,M18255_cds2_s_at,1275
6316,M86933_s_at,1276
5243,D16105_at,1277
5128,Z35102_at,1278
4446,X66867_cds1_at,1279
4908,X99296_xpt1_at,1280
1331,L14813_at,1281
2698,U09210_at,1282
6205,Y00414_s_at,1283
3814,U81001_at,1284
528,D63506_at,1285
5969,M31551_s_at,1286
989,HG4263-HT4533_at,1287
1786,M19989_cds2_at,1288
5980,U72648_s_at,1289
5671,D85131_s_at,1290
3527,U63329_at,1291
1773,M19159_at,1292
4713,X84709_at,1293
4238,X52638_at,1294
3897,U88629_at,1295
6680,X74874_rna1_s_at,1296
5310,L21998_at,1297
7099,X99479_f_at,1298
4370,X62055_at,1299
6134,L44140_cds4_s_at,1300
6658,X65965_s_at,1301
2462,S69115_at,1302
4343,X60036_at,1303
2403,M96739_at,1304
4043,X03342_at,1305
5522,AC002045_xpt2_s_at,1306
7103,X03068_f_at,1307
1797,M21005_at,1308
5985,M69203_s_at,1309
2672,U07664_at,1310
5759,HG2479-HT2575_s_at,1311
1197,L03785_at,1312
649,D85815_at,1313
6787,HG3236-HT3413_f_at,1314
6153,V00565_s_at,1315
5525,AD000092_cds7_s_at,1316
94,AC000061_cds2_at,1317
1875,M27288_at,1318
932,HG3578-HT3781_at,1319
2730,U10362_at,1320
2930,U23803_at,1321
5430,U72649_at,1322
902,HG3286-HT3463_at,1323
138,AF006084_at,1324
4728,X85785_rna1_at,1325
1461,L31584_at,1326
2686,U08198_rna1_at,1327
3452,U58766_at,1328
5168,Z49099_at,1329
5984,J04046_s_at,1330
558,D78275_at,1331
139,AF006087_at,1332
3757,U79255_at,1333
2721,U09825_at,1334
4222,X51985_at,1335
4766,X89576_at,1336
2048,M58285_at,1337
2077,M60298_at,1338
4662,X81438_at,1339
5742,HG2259-HT2348_s_at,1340
5257,D43968_at,1341
1424,L25270_at,1342
1748,M16405_at,1343
1271,L10386_at,1344
1809,M21812_at,1345
3506,U62136_at,1346
3663,U72512_at,1347
1689,M12174_at,1348
341,D29642_at,1349
291,D23662_at,1350
3550,U65093_at,1351
5067,Z18948_at,1352
6367,M80397_s_at,1353
2427,M98833_at,1354
3417,U56998_at,1355
4696,X83378_at,1356
4991,Y09616_at,1357
5130,Z35278_at,1358
6361,M75715_s_at,1359
1198,L04270_at,1360
1594,L41162_at,1361
5376,U07139_at,1362
5989,X14684_s_at,1363
6821,HG3636-HT3846_at,1364
4375,X62573_at,1365
422,D42084_at,1366
2777,U13695_at,1367
4328,X59434_at,1368
7062,L42611_f_at,1369
2814,U15460_at,1370
869,HG2715-HT2811_at,1371
5978,J03805_s_at,1372
2454,S66431_at,1373
6973,M28170_at,1374
5136,Z36715_at,1375
3363,U52112_rna1_at,1376
449,D49400_at,1377
4345,X60221_at,1378
5448,X07203_at,1379
4723,X85373_at,1380
5997,X03689_s_at,1381
2797,U14969_at,1382
5247,D21235_at,1383
2823,U16127_at,1384
3232,U44772_at,1385
6335,M61826_s_at,1386
3981,U94747_at,1387
790,HG1102-HT1102_at,1388
236,D14686_at,1389
2380,M94362_at,1390
1192,L02867_at,1391
2357,M92432_at,1392
2196,M73720_at,1393
4383,X63359_at,1394
1674,M11186_at,1395
4936,Y00486_rna1_at,1396
1612,L42354_at,1397
3840,U82468_at,1398
2716,U09607_at,1399
4629,X79536_at,1400
2440,S50223_at,1401
5764,X06182_s_at,1402
1647,L76702_at,1403
3415,U56833_at,1404
7049,K02405_f_at,1405
5863,HG3920-HT4521_s_at,1406
1032,HG825-HT825_at,1407
4399,X63755_at,1408
6326,X13461_s_at,1409
1094,J04027_at,1410
3693,U74667_at,1411
1067,J03040_at,1412
943,HG3884-HT4154_at,1413
6643,U90552_at,1414
70,AB000467_at,1415
3806,U80040_at,1416
2507,S77763_at,1417
2397,M95787_at,1418
4076,X05323_at,1419
6530,U33448_s_at,1420
3126,U37673_at,1421
4207,X51417_at,1422
3766,U79266_at,1423
5301,L11066_at,1424
2129,M63483_at,1425
5236,AB002533_at,1426
933,HG358-HT358_at,1427
4800,X92106_at,1428
3823,U81607_at,1429
1464,L31881_at,1430
6119,M34458_rna1_s_at,1431
3282,U48296_at,1432
4658,X81198_at,1433
3411,U56418_at,1434
179,D10995_at,1435
1848,M24470_at,1436
5629,S68874_s_at,1437
4287,X56253_rna1_at,1438
4543,X74794_at,1439
1593,L41147_at,1440
3755,U79253_at,1441
1867,M26602_at,1442
5858,HG3725-HT3981_s_at,1443
1165,K02574_at,1444
5147,Z47087_at,1445
4972,Y08612_at,1446
4185,X16662_at,1447
4405,X64330_at,1448
3677,U73328_at,1449
4263,X54637_at,1450
460,D49950_at,1451
3573,U66464_at,1452
4173,X15882_at,1453
2827,U16282_at,1454
3896,U88047_at,1455
619,D83776_at,1456
6263,M28882_s_at,1457
3941,U90908_at,1458
155,AF015950_at,1459
1093,J03930_at,1460
241,D14811_at,1461
5672,D85425_s_at,1462
5336,M24900_at,1463
6523,Z50115_s_at,1464
137,AF006041_at,1465
1482,L34060_at,1466
5675,D86043_s_at,1467
2167,M65085_at,1468
3723,U77968_at,1469
5465,X58072_at,1470
6311,M37457_s_at,1471
193,D13305_at,1472
1521,L37042_at,1473
572,D79988_at,1474
4979,Y08976_at,1475
3636,U70426_at,1476
4855,X96752_at,1477
3058,U33053_at,1478
3352,U51586_at,1479
5560,HG1686-HT4572_s_at,1480
5183,Z50853_at,1481
4550,X75252_at,1482
2266,M81933_at,1483
4069,X04898_rna1_at,1484
2773,U13395_at,1485
4494,X70040_at,1486
3426,U57352_at,1487
262,D16583_at,1488
3885,U86529_at,1489
692,D87074_at,1490
6398,S49592_s_at,1491
435,D43948_at,1492
721,D87451_at,1493
5141,Z46376_rna1_at,1494
2950,U25435_at,1495
2145,M64099_at,1496
6133,L43579_s_at,1497
5155,Z48481_at,1498
4401,X64037_at,1499
4054,X04145_at,1500
4895,X98743_at,1501
4388,X63469_at,1502
4038,X02910_at,1503
2932,U23946_at,1504
3463,U59423_at,1505
1958,M33521_at,1506
1852,M25077_at,1507
2889,U20158_at,1508
4260,X54304_at,1509
3382,U53003_at,1510
6524,U30827_s_at,1511
3062,U33286_at,1512
2571,U00952_at,1513
607,D83032_at,1514
4480,X69141_at,1515
4436,X66397_at,1516
2576,U01062_at,1517
5964,Y00285_s_at,1518
6626,U79528_s_at,1519
5894,HG4755-HT5203_s_at,1520
1702,M13755_at,1521
6139,L47276_s_at,1522
398,D38535_at,1523
4373,X62466_at,1524
1418,L24783_at,1525
4887,X98261_at,1526
5862,HG3914-HT4184_s_at,1527
4010,V01510_rna1_at,1528
4302,X57206_at,1529
6430,S75256_s_at,1530
5605,D29675_s_at,1531
3173,U40714_at,1532
4876,X97674_at,1533
1604,L41887_rna1_at,1534
2936,U24169_at,1535
6057,L12711_s_at,1536
5958,U07806_s_at,1537
2163,M64934_at,1538
6247,X12876_s_at,1539
7011,X96754_at,1540
4511,X71874_cds1_at,1541
4627,X79483_at,1542
3917,U89717_at,1543
6897,U40279_at,1544
626,D83783_at,1545
4702,X83573_at,1546
6020,L00634_s_at,1547
1394,L20971_at,1548
3118,U37352_at,1549
1054,J02645_at,1550
3507,U62317_rna3_at,1551
6985,U09587_at,1552
3927,U90426_at,1553
3078,U34343_at,1554
2818,U15655_at,1555
6331,M60483_rna1_s_at,1556
6496,X74301_s_at,1557
910,HG3355-HT3532_at,1558
3375,U52682_at,1559
1134,J05032_at,1560
5544,L09229_s_at,1561
1792,M20681_at,1562
4272,X54942_at,1563
3260,U46901_at,1564
287,D21852_at,1565
1129,J04973_at,1566
6677,X59932_s_at,1567
1620,L42572_at,1568
1523,L37127_at,1569
5809,HG2981-HT3125_s_at,1570
7041,HG4490-HT4876_f_at,1571
1145,J05257_at,1572
6252,M26041_s_at,1573
2378,M94250_at,1574
5401,U31556_at,1575
5872,M74509_s_at,1576
2236,M77698_at,1577
2281,M83751_at,1578
6354,M72885_rna1_s_at,1579
3018,U30888_at,1580
4523,X72964_at,1581
4107,X07767_at,1582
5893,HG4683-HT5108_s_at,1583
2133,M63589_at,1584
4640,X80198_at,1585
3181,U41515_at,1586
582,D79998_at,1587
6431,U33052_s_at,1588
527,D63487_at,1589
5860,S80267_s_at,1590
6078,U59632_s_at,1591
6545,U41163_s_at,1592
2286,M84349_at,1593
5916,S76942_s_at,1594
3032,U31384_at,1595
1893,M28827_at,1596
4442,X66533_at,1597
5407,U37146_at,1598
6871,M92642_at,1599
1882,M28209_at,1600
1987,M35878_at,1601
1041,HG919-HT919_at,1602
1697,M13207_at,1603
3630,U70063_at,1604
5699,M64710_s_at,1605
6443,S80437_s_at,1606
4057,X04325_at,1607
5805,HG2868-HT3012_s_at,1608
5154,Z48475_at,1609
5065,Z17227_at,1610
97,AC000064_cds1_at,1611
2748,U11791_at,1612
2967,U26727_at,1613
4347,X60483_at,1614
409,D42039_at,1615
5063,Z15108_at,1616
3137,U38847_at,1617
416,D42053_at,1618
2321,M87503_at,1619
1302,L13203_at,1620
805,HG1649-HT1652_at,1621
2219,M75126_at,1622
5464,X57985_rna2_at,1623
1257,L09604_at,1624
4198,X17206_at,1625
6223,M26311_s_at,1626
1862,M25897_at,1627
35,AFFX-HUMISGF3A/M97935_MA_at,1628
3488,U60666_at,1629
5127,Z35093_at,1630
1613,L42373_at,1631
5005,Y10260_at,1632
6990,U35234_at,1633
1624,L43631_at,1634
677,D86978_at,1635
3429,U57592_at,1636
2697,U09196_at,1637
832,HG2274-HT2370_at,1638
205,D13636_at,1639
2884,U19796_at,1640
3372,U52518_at,1641
6089,L24774_s_at,1642
1491,L34657_at,1643
2352,M91670_at,1644
5459,X52228_at,1645
1202,L04733_at,1646
2144,M64098_at,1647
4563,X76013_at,1648
4613,X78817_at,1649
6256,M27504_s_at,1650
1330,L14812_at,1651
1422,L25085_at,1652
2083,M60527_at,1653
2942,U25029_at,1654
5822,X75755_rna1_s_at,1655
5859,HG3730-HT4000_s_at,1656
643,D85418_at,1657
2264,M81830_at,1658
2597,U02556_at,1659
1541,L38707_at,1660
5413,U41518_at,1661
4193,X16983_at,1662
6800,L49229_f_at,1663
3294,U49070_at,1664
6141,Y08766_s_at,1665
3936,U90878_at,1666
3773,U79275_at,1667
6037,U51003_s_at,1668
410,D42041_at,1669
2754,U12139_at,1670
3447,U58334_at,1671
7023,U22028_at,1672
488,D50917_at,1673
3642,U70735_at,1674
602,D82345_at,1675
2993,U28831_at,1676
4286,X56199_at,1677
3614,U68233_at,1678
5487,X81625_at,1679
1144,J05249_at,1680
6159,X05855_at,1681
6376,X62534_s_at,1682
5929,L00022_s_at,1683
638,D84454_at,1684
3531,U63541_at,1685
1072,J03171_at,1686
466,D50402_at,1687
3468,U59878_at,1688
1472,L32977_at,1689
2700,U09284_at,1690
4850,X96484_at,1691
2977,U27831_at,1692
6671,X53296_s_at,1693
2194,M73489_at,1694
389,D38305_at,1695
2366,M93283_at,1696
3829,U82169_at,1697
4860,X96969_at,1698
4439,X66417_at,1699
571,D79987_at,1700
5273,HG2846-HT2983_at,1701
6471,U18271_cds3_s_at,1702
1308,L13391_at,1703
3212,U43431_at,1704
1542,L38810_at,1705
2476,S72487_at,1706
6118,L37360_s_at,1707
4000,U96915_at,1708
405,D38555_at,1709
2593,U02081_at,1710
1516,L36847_at,1711
569,D79985_at,1712
6165,X83705_s_at,1713
201,D13630_at,1714
4869,X97302_at,1715
6310,M37457_at,1716
4501,X70476_at,1717
786,HG1019-HT1019_at,1718
2492,S75463_at,1719
6014,K03494_s_at,1720
3794,U79303_at,1721
7017,Z86000_at,1722
808,HG1733-HT1748_at,1723
3075,U34038_at,1724
3524,U63289_at,1725
6301,X13955_s_at,1726
7098,L41268_f_at,1727
5535,X83416_s_at,1728
4992,Y09836_at,1729
2184,M69039_at,1730
2310,M86826_at,1731
5105,Z29064_at,1732
7060,L42583_f_at,1733
3705,U76638_at,1734
6336,M61832_s_at,1735
1698,M13241_at,1736
1844,M24398_at,1737
2276,M83308_at,1738
3201,U43083_at,1739
2896,U20391_rna6_at,1740
781,D90224_at,1741
3138,U38864_at,1742
1736,M15661_at,1743
1256,L09260_at,1744
6408,X66142_s_at,1745
2523,S79854_at,1746
3560,U65928_at,1747
5692,Z74792_s_at,1748
4053,X04143_at,1749
1784,M19961_at,1750
3895,U87972_at,1751
678,D86979_at,1752
3479,U60269_cds3_at,1753
4218,X51952_xpt1_at,1754
2555,S83549_at,1755
2914,U21858_at,1756
918,HG3454-HT3647_at,1757
2223,M76424_at,1758
2592,U02031_at,1759
4191,X16832_at,1760
6846,M13485_at,1761
9,AFFX-BioB-5_st,1762
4371,X62078_at,1763
1398,L21936_at,1764
6672,X61755_rna1_s_at,1765
2076,M60278_at,1766
3004,U29680_at,1767
1495,L35035_at,1768
5711,HG1437-HT1437_s_at,1769
6309,M37238_s_at,1770
3583,U66616_at,1771
4548,X75042_at,1772
4574,X76228_at,1773
1925,M31166_at,1774
1121,J04739_at,1775
5338,M31724_at,1776
6079,S75213_s_at,1777
2840,U17280_at,1778
1886,M28214_at,1779
6594,U61276_s_at,1780
7086,V01516_f_at,1781
1560,L39874_at,1782
6595,U67122_s_at,1783
1901,M29474_at,1784
3711,U77456_at,1785
1986,M35531_at,1786
4626,X79440_at,1787
283,D21262_at,1788
5478,X72889_at,1789
2852,U18009_at,1790
1428,L25851_at,1791
3333,U50928_at,1792
5097,Z26256_at,1793
5008,Y10376_at,1794
4634,X79882_at,1795
4962,Y08134_at,1796
4420,X65644_at,1797
5229,Z84722_at,1798
5145,Z46973_at,1799
3029,U31342_at,1800
3558,U65676_at,1801
273,D17716_at,1802
4344,X60188_at,1803
525,D63485_at,1804
1547,L38933_rna1_at,1805
5204,Z73903_at,1806
5258,D45132_at,1807
3060,U33147_at,1808
3328,U50553_at,1809
4246,X53331_at,1810
4229,X52142_at,1811
1088,J03824_at,1812
430,D43642_at,1813
2329,M88468_at,1814
4812,X92972_at,1815
4438,X66403_at,1816
6444,X58199_s_at,1817
2432,S34389_at,1818
220,D14043_at,1819
4982,Y09022_at,1820
3423,U57316_at,1821
578,D79994_at,1822
1207,L05424_cds2_at,1823
3974,U94319_at,1824
6070,U33838_s_at,1825
2039,M57506_rna1_at,1826
2453,S65738_at,1827
2924,U22897_at,1828
983,HG4188-HT4458_at,1829
6161,X07438_s_at,1830
5372,S76638_at,1831
1572,L40392_at,1832
1317,L13848_at,1833
3241,U45975_at,1834
2322,M87860_at,1835
4364,X61373_at,1836
1046,J00073_at,1837
6828,HG881-HT881_at,1838
6308,X53800_s_at,1839
479,D50840_at,1840
5882,L13266_s_at,1841
2417,M97815_at,1842
4443,X66534_at,1843
3453,U58970_at,1844
4904,X99142_at,1845
2944,U25128_at,1846
5175,Z49878_at,1847
996,HG4321-HT4591_at,1848
1923,M31158_at,1849
4048,X03663_at,1850
3908,U89336_cds1_at,1851
897,HG3231-HT3408_at,1852
6292,M58286_s_at,1853
3746,U79241_at,1854
4967,Y08302_at,1855
6801,L76670_f_at,1856
4582,X76717_at,1857
6125,L40386_s_at,1858
3174,U40990_at,1859
2267,M82809_at,1860
4615,X78925_at,1861
4698,X83425_at,1862
1403,L22075_at,1863
5581,D16827_s_at,1864
6999,X07496_at,1865
4721,X85237_at,1866
2368,M93405_at,1867
5990,J04430_s_at,1868
2405,M96759_rna1_at,1869
1977,M34539_at,1870
2598,U02570_at,1871
5274,HG3543-HT3739_at,1872
6362,M76732_s_at,1873
3335,U50939_at,1874
4313,X58255_at,1875
5857,HG371-HT26388_s_at,1876
3798,U79718_at,1877
6462,U06155_at,1878
723,D87453_at,1879
6646,U92314_s_at,1880
150,AF010193_at,1881
6123,U32986_s_at,1882
4757,X87904_at,1883
5712,HG1471-HT3923_s_at,1884
1419,L24804_at,1885
1868,M26679_at,1886
2086,M60721_at,1887
2041,M57609_at,1888
5176,Z49989_at,1889
5686,U52191_s_at,1890
837,HG2314-HT2410_at,1891
2918,U22055_at,1892
5884,M20867_s_at,1893
4821,X93996_rna1_at,1894
3242,U45976_at,1895
6697,X79200_at,1896
5836,M97016_s_at,1897
2712,U09564_at,1898
439,D44466_at,1899
729,D87460_at,1900
4858,X96849_at,1901
6909,U84388_at,1902
5654,U58046_s_at,1903
5481,X75918_at,1904
5330,M16276_at,1905
1822,M22632_at,1906
218,D13969_at,1907
5834,HG3327-HT3504_s_at,1908
6741,HG2171-HT2241_r_at,1909
3582,U66615_at,1910
2382,M94556_at,1911
2556,S85655_at,1912
850,HG2525-HT2621_at,1913
5601,X59842_rna1_s_at,1914
2346,M91196_at,1915
3971,U93237_rna2_at,1916
1473,L33243_at,1917
1174,K03474_at,1918
716,D87446_at,1919
1730,M15059_at,1920
3165,U40372_at,1921
2795,U14910_at,1922
2670,U07563_cds1_at,1923
1618,L42542_at,1924
128,AF002020_at,1925
641,D85245_at,1926
935,HG363-HT363_at,1927
1645,L76571_at,1928
4150,X14813_at,1929
3083,U34877_at,1930
3843,U82613_at,1931
7094,Z80780_f_at,1932
857,HG2604-HT2700_at,1933
1979,M34668_at,1934
819,HG2036-HT2090_at,1935
1450,L28957_at,1936
2062,M59820_at,1937
7010,X95876_at,1938
6049,L15189_s_at,1939
4243,X52943_at,1940
3779,U79287_at,1941
1596,L41351_at,1942
5262,D80000_at,1943
5648,L38593_s_at,1944
1355,L17330_at,1945
866,HG2707-HT2803_at,1946
1006,HG4480-HT4833_at,1947
4852,X96586_at,1948
6767,U90546_at,1949
6,AFFX-BioDn-3_at,1950
524,D63484_at,1951
719,D87449_at,1952
288,D21853_at,1953
1053,J02611_at,1954
4833,X95190_at,1955
5910,HG862-HT862_s_at,1956
4864,X97074_at,1957
5259,D50405_at,1958
1318,L13852_at,1959
5995,S40719_s_at,1960
6333,M60784_s_at,1961
4204,X17651_at,1962
6515,U26312_s_at,1963
3115,U37248_at,1964
2058,M59488_at,1965
752,D87969_at,1966
400,D38549_at,1967
4316,X58521_at,1968
377,D32001_at,1969
6905,U76388_at,1970
1115,J04543_at,1971
247,D14874_at,1972
3765,U79265_at,1973
1056,J02854_at,1974
4441,X66503_at,1975
6527,U31903_s_at,1976
4878,X97795_at,1977
5895,HG4757-HT5207_s_at,1978
3399,U55054_at,1979
4725,X85740_at,1980
876,HG2825-HT2949_at,1981
2210,M74524_at,1982
1446,L27943_at,1983
5631,U38964_s_at,1984
1798,M21056_at,1985
5071,Z19574_rna1_at,1986
2234,M77235_at,1987
6329,X52282_s_at,1988
1225,L06895_at,1989
5230,Z93784_at,1990
1135,J05037_at,1991
6551,X81832_s_at,1992
3688,U73799_at,1993
5923,M97935_s_at,1994
2758,U12471_cds1_at,1995
3220,U43885_at,1996
1220,L06419_at,1997
5474,X66785_at,1998
2358,M92439_at,1999
831,HG2264-HT2360_at,2000
5774,HG2639-HT2735_s_at,2001
4767,X89750_at,2002
3199,U43030_at,2003
6227,M26692_s_at,2004
2130,M63488_at,2005
4811,X92896_at,2006
3521,U62966_at,2007
3106,U36798_at,2008
1583,L40410_at,2009
2200,M74089_at,2010
6399,M96738_s_at,2011
6424,S72024_s_at,2012
2625,U03911_at,2013
1922,M31153_at,2014
6725,HG3546-HT3744_s_at,2015
1710,M14058_at,2016
2599,U02609_at,2017
625,D83782_at,2018
54,AFFX-HUMGAPDH/M33197_5_st,2019
245,D14827_at,2020
3460,U59309_at,2021
882,HG3039-HT3200_at,2022
4568,X76061_at,2023
671,D86971_at,2024
64,AB000449_at,2025
4818,X93512_at,2026
4244,X52947_at,2027
603,D82346_at,2028
5520,Z49107_s_at,2029
3960,U91932_at,2030
3302,U49260_at,2031
6369,M81181_s_at,2032
5718,HG167-HT167_s_at,2033
4789,X91247_at,2034
1019,HG4749-HT5197_at,2035
6337,X65962_s_at,2036
2094,M60922_at,2037
4916,X99664_at,2038
1905,M29551_at,2039
782,D90276_at,2040
114,AD000092_cds2_at,2041
111,AC002464_at,2042
707,D87435_at,2043
5726,U47025_s_at,2044
4394,X63629_at,2045
6414,S56151_s_at,2046
6969,M17252_at,2047
4900,X99076_rna1_at,2048
4120,X12517_at,2049
3565,U66052_at,2050
5335,M24283_at,2051
196,D13435_at,2052
1824,M22760_at,2053
4589,X77366_at,2054
4677,X82207_at,2055
1953,M33308_at,2056
817,HG1879-HT1919_at,2057
947,HG3934-HT4204_at,2058
73,AB000895_at,2059
3546,U64998_at,2060
4149,X14789_at,2061
5267,D86988_at,2062
403,D38552_at,2063
337,D28915_at,2064
1441,L27479_at,2065
6155,M10321_s_at,2066
3790,U79299_at,2067
5144,Z46967_at,2068
3274,U47927_at,2069
5344,M58026_at,2070
3104,U36764_at,2071
7043,HG67-HT67_f_at,2072
3763,U79262_at,2073
6283,M33684_s_at,2074
1246,L08177_at,2075
5694,D90070_s_at,2076
995,HG4319-HT4589_at,2077
4764,X89416_at,2078
1522,L37043_at,2079
974,HG4126-HT4396_at,2080
6204,M17254_s_at,2081
3311,U49844_at,2082
4774,X90763_at,2083
3656,U72066_at,2084
4100,X07315_at,2085
3727,U78027_rna4_at,2086
963,HG4018-HT4288_at,2087
3817,U81375_at,2088
2775,U13666_at,2089
2578,U01120_at,2090
4433,X66363_at,2091
487,D50916_at,2092
2161,M64929_at,2093
483,D50912_at,2094
1912,M29971_at,2095
4771,X89985_at,2096
4114,X12433_at,2097
2810,U15177_at,2098
4201,X17620_at,2099
6628,U76764_s_at,2100
5291,L04282_at,2101
5896,M79463_s_at,2102
1127,J04948_at,2103
6366,M77829_s_at,2104
1214,L05606_at,2105
3989,U95740_rna1_at,2106
3346,U51334_at,2107
1479,L33842_rna1_at,2108
6274,X57152_rna1_s_at,2109
12,AFFX-BioC-5_st,2110
1454,L29218_at,2111
6739,HG2147-HT2217_r_at,2112
1477,L33799_at,2113
7055,L00389_f_at,2114
7037,HG3527-HT3721_f_at,2115
1772,M18737_rna1_at,2116
6063,L14848_s_at,2117
1937,M31682_at,2118
3277,U48213_at,2119
951,HG3962-HT4232_at,2120
6867,M68519_rna1_at,2121
3739,U78628_at,2122
6099,L27584_s_at,2123
6213,M19309_s_at,2124
1444,L27706_at,2125
1528,L37378_at,2126
3952,U91316_at,2127
6486,X75346_s_at,2128
171,D10202_at,2129
6810,D38024_at,2130
2240,M80244_at,2131
722,D87452_at,2132
2499,S77094_at,2133
1836,M23379_at,2134
896,HG3227-HT3404_at,2135
5760,L08835_rna2_s_at,2136
6620,U72509_s_at,2137
3016,U30828_at,2138
3491,U60873_at,2139
6930,X87211_at,2140
5174,Z49269_at,2141
5477,X72727_at,2142
1024,HG620-HT620_at,2143
796,HG1148-HT1148_at,2144
4253,X53793_at,2145
4742,X86809_at,2146
3815,U81006_at,2147
6143,U45878_s_at,2148
1078,J03474_at,2149
6499,U19252_s_at,2150
6565,U43916_s_at,2151
5837,HG3395-HT3573_s_at,2152
1942,M32053_at,2153
4554,X75342_at,2154
0,AFFX-BioB-5_at,2155
3216,U43586_at,2156
960,HG3995-HT4265_at,2157
1552,L38969_at,2158
3708,U77180_at,2159
6015,K03498_xpt1_s_at,2160
3301,U49250_at,2161
585,D80002_at,2162
1649,L76927_rna1_at,2163
7016,Z68193_at,2164
5615,L10377_s_at,2165
4237,X52599_at,2166
6835,K03431_cds1_at,2167
6254,M26657_s_at,2168
7093,X97444_f_at,2169
4366,X61615_at,2170
4458,X67683_at,2171
970,HG4073-HT4343_at,2172
4119,X12492_at,2173
2307,M86737_at,2174
3696,U75370_at,2175
1939,M31951_at,2176
4086,X06323_at,2177
664,D86964_at,2178
7063,L76568_xpt3_f_at,2179
3143,U39226_at,2180
5351,M69181_at,2181
3071,U33839_at,2182
6146,X95463_s_at,2183
5388,U18259_at,2184
623,D83780_at,2185
6474,U09716_s_at,2186
6173,X04445_rna1_s_at,2187
1835,M23294_at,2188
2451,S63912_at,2189
5479,X73478_at,2190
532,D63875_at,2191
4042,X03168_at,2192
2808,U15173_at,2193
121,AF000545_at,2194
2989,U28686_at,2195
6031,L05628_s_at,2196
57,AFFX-HSAC07/X00351_5_st,2197
5749,HG2379-HT3996_s_at,2198
58,AFFX-HSAC07/X00351_M_st,2199
1726,M14660_at,2200
502,D55640_at,2201
4123,X12791_at,2202
